ticker,sector,marketCap,trailingPE,forwardPE,priceToBook,enterpriseToRevenue,returnOnEquity,returnOnAssets,profitMargins,operatingMargins,debtToEquity,currentRatio,quickRatio,beta,revenueGrowth,earningsGrowth,pegRatio
AON,Financial Services,74542112768,27.633894,19.879242,9.37085,5.345,0.3769,0.05587,0.15962,0.20365,214.88,1.058,0.222,0.837,0.074,0.344,0.5778849418604651
APA,Energy,9105666048,6.088517,9.254546,1.51741,1.497,0.27427998,0.099259995,0.16093999,0.27281,66.895,0.775,0.585,0.763,-0.164,,
APO,Financial Services,76662218752,19.281752,15.575473,3.5262709,3.542,0.16549,0.0144299995,0.15777001,0.29920998,94.598,1.986,1.875,1.61,0.264,1.153,0.1350864960971379
AAPL,Technology,4247171104768,38.311916,34.439228,57.341213,10.3,1.7142199,0.22964,0.26915002,0.31647,152.411,0.893,0.771,1.109,0.079,0.912,0.3776231140350877
AMAT,Technology,211373129728,30.673988,27.381836,10.319305,7.355,0.35508,0.14974,0.24669,0.27838,32.109,2.61,1.72,1.674,-0.035,0.135,2.028284148148148
APTV,Consumer Cyclical,16872030208,58.696968,11.100287,1.8076197,1.169,0.03294,0.057729997,0.01464,0.114350006,85.425,1.793,1.215,1.514,0.074,,
ACGL,Financial Services,34593787904,8.686973,10.253319,1.4812152,1.717,0.17811,0.03899,0.20959,0.30691,11.501,0.564,0.277,0.453,0.082,0.391,0.26223322250639386
ADM,Consumer Defensive,28983160832,24.51626,11.895463,1.2869428,0.447,0.05242,0.0175,0.01429,0.01949,40.467,1.372,0.369,0.686,0.022,4.891,0.02432112655898589
ANET,Technology,160206258176,48.372623,13.0750265,13.453892,17.767,0.31736,0.14658,0.3973,0.42378,,3.254,2.485,1.392,0.275,0.155,0.8435500967741936
AJG,Financial Services,62716915712,39.0752,21.65071,2.702595,6.214,0.090670004,0.023020001,0.13257,0.17212,58.979,1.055,0.167,0.686,0.2,-0.252,-0.8591551587301588
AIZ,Financial Services,11170155520,13.498171,12.353236,1.9297051,0.894,0.15413,0.020539999,0.06753,0.11153,38.316,0.41,0.146,0.58,0.089,1.027,0.12028467380720548
